template,years,country,technologydata
advanced_nuclear_baseload_PGP,2019,AU,AdvancedNuclearEIA_PGP_IRENA-RES
advanced_nuclear_baseload_PGP,2019,BR,AdvancedNuclearEIA_PGP_IRENA-RES
advanced_nuclear_baseload_PGP,2019,US,AdvancedNuclearEIA_PGP_IEA-H2
advanced_nuclear_baseload_PGP,2019,CN,AdvancedNuclearEIA_PGP_IEA-H2
advanced_nuclear_baseload_PGP,2019,DE,AdvancedNuclearEIA_PGP_IEA-H2
advanced_nuclear_baseload_PGP,2019,ZA,AdvancedNuclearEIA_PGP_IEA-H2
advanced_nuclear_baseload_PGP,2019,AU,AdvancedNuclearEIA_PGP_IEA-H2
advanced_nuclear_baseload_PGP,2019,BR,AdvancedNuclearEIA_PGP_IEA-H2
advanced_nuclear_baseload_PGP,2019,US,AdvancedNuclearEIA_PGP_IRENA-RES_IEA-H2
advanced_nuclear_baseload_PGP,2019,CN,AdvancedNuclearEIA_PGP_IRENA-RES_IEA-H2
advanced_nuclear_baseload_PGP,2019,DE,AdvancedNuclearEIA_PGP_IRENA-RES_IEA-H2
advanced_nuclear_baseload_PGP,2019,ZA,AdvancedNuclearEIA_PGP_IRENA-RES_IEA-H2
advanced_nuclear_baseload_PGP,2019,AU,AdvancedNuclearEIA_PGP_IRENA-RES_IEA-H2
advanced_nuclear_baseload_PGP,2019,BR,AdvancedNuclearEIA_PGP_IRENA-RES_IEA-H2
conventional_nuclear_baseload_PGP,2019,US,ConventionalNuclearEIA_PGP
conventional_nuclear_baseload_PGP,2019,CN,ConventionalNuclearEIA_PGP
conventional_nuclear_baseload_PGP,2019,DE,ConventionalNuclearEIA_PGP
conventional_nuclear_baseload_PGP,2019,ZA,ConventionalNuclearEIA_PGP
conventional_nuclear_baseload_PGP,2019,AU,ConventionalNuclearEIA_PGP
conventional_nuclear_baseload_PGP,2019,BR,ConventionalNuclearEIA_PGP
conventional_nuclear_baseload_PGP,2019,US,ConventionalNuclearEIA_PGP_IRENA-RES
conventional_nuclear_baseload_PGP,2019,CN,ConventionalNuclearEIA_PGP_IRENA-RES
conventional_nuclear_baseload_PGP,2019,DE,ConventionalNuclearEIA_PGP_IRENA-RES
conventional_nuclear_baseload_PGP,2019,ZA,ConventionalNuclearEIA_PGP_IRENA-RES
conventional_nuclear_baseload_PGP,2019,AU,ConventionalNuclearEIA_PGP_IRENA-RES
conventional_nuclear_baseload_PGP,2019,BR,ConventionalNuclearEIA_PGP_IRENA-RES
conventional_nuclear_baseload_PGP,2019,US,ConventionalNuclearEIA_PGP_IEA-H2
conventional_nuclear_baseload_PGP,2019,CN,ConventionalNuclearEIA_PGP_IEA-H2
conventional_nuclear_baseload_PGP,2019,DE,ConventionalNuclearEIA_PGP_IEA-H2
conventional_nuclear_baseload_PGP,2019,ZA,ConventionalNuclearEIA_PGP_IEA-H2
conventional_nuclear_baseload_PGP,2019,AU,ConventionalNuclearEIA_PGP_IEA-H2
conventional_nuclear_baseload_PGP,2019,BR,ConventionalNuclearEIA_PGP_IEA-H2
